ID,Product,Brand,Type,Price,Origin,Pedal,Status,Remaining,Information
1,YAMAHA U1J PE,YAMAHA,Upright,102000000,Japan,3,Brand New,4,The Yamaha U1J is designed based on Yamaha's famous Upirght U series acoustic pianos. Complement the excellent tonal characteristics of the U series with external refinements. Modern; elegant and sophisticated design suitable for any space. With a compact home space; the Upright piano (standing piano) brings a much more outstanding beauty than a grand piano; the U1 size 121cm high design is compact but has enough space to create powerful sound and bass. resounding; This makes the Yamaha U1 a popular choice for musicians and pianists around the world.
2,YAMAHA C1 PE,YAMAHA,Grand,635000000,Japan,3,Brand New,5,Distinguished by innovation in both impressive design and sound; the Yamaha C1X PE acoustic piano is a product that Yamaha is committed to detailing. With a wide range of models available; the Yamaha C1X PE can meet the requirements of most of the world's pianists.
3,Kohler & Campbell J310B,Kohler & Campbell,Upright,96100000,USA,3,Brand New,10,The Kohler & Campbell J310B piano is suitable for owners with high aesthetic requirements; a combination of music and painting. With rooms with classical European-style architecture; this is the choice that you cannot refuse to add sophistication and elegance to the room.The Kohler & Campbell J310B piano is suitable for owners with high aesthetic requirements; a combination of music and painting. With rooms with classical European-style architecture; this is the choice that you cannot refuse to add sophistication and elegance to the room.
4,CASIO PX-870,CASIO,Digital,23500000,Japan,3,Brand New,4,The Casio PX-870 Privia Digital Piano offers a beautiful design in this high-end digital piano. The Casio Privia PX-870 Digital Piano is the flagship of the world-renowned Privia series of digital pianos; designed to give you a great piano experience. With authentic piano sound and feel; modern design; and a new sound system; the Casio Privia PX-870 Digital Piano is a great tool to inspire brilliant performances. With extremely high quality sound sources.
5,ROLAND LX-705 LO,ROLAND,Upright,46900000,Japan,3,Used,6,For players who are learning about the Roland LX700 series and looking for the right balance between features and price; the LX705 is a top choice. Designed for the discerning pianist; the LX705 sits at the midpoint of the LX700 lineup; recreating the classic performance of an acoustic grand in a warm home environment. Just like the pinnacle LX708; players will enjoy realistic sound and superb reverb; along with a dynamic Hybrid Grand Keyboard to spark your creativity.
6,YAMAHA YDP-165 WA,YAMAHA,Digital,27500000,Japan,3,Brand New,7,The YAMAHA YDP-165 pleases the most demanding players with its responsive and smooth keyboard feel and rich; realistic sound. Combining powerful sound on the basis of the standard Yamaha key system with a much higher sensitivity and keystroke than other brands in the same segment; Compact design to fit any space; the Yamaha YDP165 deserves to be the most suitable guitar on your serious learning journey.
7,YAMAHA GB1K,YAMAHA,Grand,255656000,Japan,3,Used,1,The Yamaha GB1K grand piano is considered Yamaha's most compact and economical grand piano. Despite its compact size; the Yamaha GB1K still offers a rich tonal range and excellent resonance comparable to models with a large size. This is a great option for those with limited space and budget.
8,YAMAHA C7X,YAMAHA,Grand,1737818000,Japan,3,Brand New,2,The Yamaha C7X grand piano is the most advanced model in the CX Series. At 7'6" (228 cm) long; the Yamaha C7X is very close to a Grand Concert grand piano; often referred to as a Semi-concert grand piano. This is a 100% new grand piano; using the highest quality materials; most elaborately crafted in Yamaha's CX series. Influenced by the groundbreaking CF series (which Yamaha considers to be the finest pianos ever made) there are many improvements over its peers; especially in the sharpness; smoothness of the sound as well as the smoothness of the sound. like durability over time.
9,KORG C1 Air Black,KORG,Digital,15000000,Japan,3,Used,5,The Korg C1 air is a truly exceptional digital piano. With a history of instrument design and unique acoustic technology; the KORG C1 air provides levels of play and versatility that will exceed the expectations of the most demanding pianist. The redesigned keyboard provides a realistic keyboard feel that helps students develop their playing technique; while fully meeting the requirements of more advanced players.
10,ROLAND F701 WH,ROLAND,Digital,34900000,Japan,3,Brand New,7,Roland's SuperNATURAL technology delivers the rich; expressive sound you'd expect from an acoustic piano; while dynamic built-in speakers fill the room with immersive sound. The PHA-4 Standard keyboard inherits the progressive hammer action and Ivory Feel texture of the keyboard found in Roland's high-end pianos. This highly responsive keyboard follows every nuance of your evolving touch; encouraging a deeper level of expression as your technique improves. The piano's three pedals are made of metal for a realistic feel and also support half-pedal control.
11,APOLLO RU200,APOLLO,Upright,74000000,Japan,3,Used,1,Apollo RU-200 is a Japanese piano of Apollo brand; this instrument belongs to the mid-range price range and is said to be a famous brand of the Japanese piano market. Desire for grand pianos of the SSS series is sure to increase as skill improves. A great sound and touch keyboard can let you express your touch. And a subtle change in tone when the pedal is pressed. Apollo technology has perfected an upright piano that embodies these great features of a grand piano.
12,MEISTER ME28,MEISTER,Upright,26500000,Japan,3,Used,1,Meister pianos are manufactured and sold by the Rothschild company. Meister and Rothschild sales offices are based in Chicago; with a piano factory in Monroeville; New York. The Meister is a good quality; affordable piano; with thousands of units sold. Rothschild has tried to promote the Meister piano brand nationwide with great success; loved by users due to its good quality and affordable prices to the masses.
13,KAWAI K-400,KAWAI,Upright,182000000,Japan,3,Brand New,4,With its unique design; the KAWAI K-400 Professional is different from any other upright piano in its class. The large music rack is large enough to hold oversized books and music and is placed at eye level; This design is appreciated by students and professional players. The exclusive Kawai Millennium III Upright Action is considered one of the finest mechanical movements in the world today; helping the K-400 upright piano deliver superb control; response; and expression.
14,Boston UP-132E PE,Boston,Upright,470000000,Japan,3,Brand New,8,Boston is a piano brand designed by Steinway; manufactured by Kawai in Japan. Boston Piano has 5 grand piano lines and 3 upright piano lines with outstanding Steinway designs such as the wide tail design. In 2018; Boston released the Boston Grand PE II version marking a breakthrough in the development of piano lines in the mid-high segment.
15,KOHLER CAMPBELL KIG-48D,KOHLER CAMPBELL,Grand,254100000,USA,3,Brand New,1,Kohler & Campbell KIG-48D impresses everyone at first sight because of its compact size; suitable for interior space in the family. Compared with grand pianos; this model is suitable for decoration in many different spaces such as living rooms; apartments; restaurants; hotels with small spaces. Therefore; even small spaces can install this grand piano to enhance the beauty and class.
16,BOWMAN CX230 SR,BOWMAN,Digital,15500000,Korea,3,Brand New,9,The BOWMAN CX-230 electric piano offers excellent sound quality; perfect keyboard feel; sophisticated design and excellent performance features; to satisfy every player's needs with differences. outstanding sound; features and formal design.
17,ROLAND LX-706,ROLAND,Digital,108000000,Japan,3,Used,3,Roland LX-706 launched in 2019; is a digital piano with a luxurious; modern design with meticulously finished lines; shiny and clear. The Japanese technology-based lacquer is covered on the outside of the guitar; creating a high-class feeling; making the space more stylish and classy.
18,ROLAND RD-88,ROLAND,Digital,35900000,Japan,0,Brand New,3,The Roland RD-88 is a premium stage digital piano; with a lightweight; portable design; acoustic piano sound; and many useful features. Therefore; this piano stage will bring many interesting experiences for artists on stage; meeting the performance needs of professional artists who need an acoustic digital piano; or studios. The studio needs a high-end digital piano to record.
19,SHIGERU KAWAI SK-EX,SHIGERU KAWAI,Grand,5238000000,Japan,3,Brand New,1,The Shigeru Kawai EX grand piano is a model used for concerts; international music competitions; placed on large stages. Exquisite design; luxury with perfection in sound quality. Shigeru Kawai EX is selected with high-grade; solid materials to create the best piano performance; top-notch; masterpiece; delivering the most perfect performances; conquering every pianist on the planet. all over the world.
20,SHIGERU KAWAI SK-2,SHIGERU KAWAI,Grand,1090000000,Japan,3,Brand New,1,The Shigeru Kawai SK-2 grand piano in shiny black; with a refined design from the outside to the rim and interior details; conquers everyone at first sight. The majestic beauty and class of the piano will definitely make the installation space more luxurious and attractive. The body of the guitar is made of solid wood; the outside is covered with a glossy black paint. The appearance of the guitar is even more temperamental when hidden under the spray paint according to light spray technology; there are translucent wood grain lines that are meticulously crafted and detailed by the hands of skilled artisans.
21,ESSEX UP-123 WN,ESSEX,Upright,165000000,Korea,3,Used,4,The Continental upright Essex piano EUP-123 is a model of the Essex brand - the "daughter" of the world's number 1 famous piano maker Steinway & Son. Designed by Steinway & Sons in collaboration with renowned designer William Faber; the Essex EUP-123E was created as a tribute to the concept of style and design that makes a perfect and beautiful piano possible. in all price ranges. Essex EUP-123E - A unique upright piano with classically balanced elegance. The classic design makes it the perfect choice for any home.
22,KAWAI BL51 Wn,KAWAI,Upright,40990000,Japan,3,Used,2,The design of the Kawai BL-51 piano is classically traditional; each line is meticulously and perfectly completed. Make the house stand out. In addition to being used for learning and entertainment; BL51 is also considered a luxury interior. The size of the Kawai BL51 grand piano is equivalent to Yamaha's U2 series with a height of 127cm; a large box with thick wooden walls that optimizes resonance and delivers a rich; expressive sound.
23,Bosendorfer 120 CL,Bosendorfer,Upright,1050000000,Austria,3,Used,3,The Bosendorfer upright piano model inherits all the experience of our artisans. Many say that the model of the Bösendorfer 120 CL sounds like a grand piano; and many consider it the best piano in the world. Naturally; it benefits from all the experience of our artisans as well as the DNA of grand pianos. By definition; it has all the advantages of a standing piano but has the spirit and sound of a grand piano: it's smaller and requires less space; easier to change and more affordable.
24,MASON MODEL 50,MASON,Upright,997500000,USA,3,Brand New,7,The Mason & Hamlin Model 50 features a classic and modern design for those looking for the tone and sound of the Mason & Hamlin concert grand in a more compact form factor. The Model 50 is handcrafted to perfection; using only the finest materials to produce unparalleled power and clarity not found in other upright pianos making it so valuable and valuable. Best sound in the segment. The Model 50 sets a high standard that pianists around the world believe in for performance and perfection for professional use in schools; churches; and organizations. other musical functions and for anyone who wants the characteristics of a grand piano but with a compact size.
25,YAMAHA ELS-02C,YAMAHA,Electon,139000000,Japan,2,Used,1,Percussion and sound effects can be played directly from the keyboard; allowing percussion sounds to be played from the top and bottom keyboards as well as the pedals. There are 40 sets of setups per unit available for the user to decide which sound choice they want. Use up to 2 sets at the same time. The AWM Advanced Tone Generator combines 986 voices. This feature helps sample quality sound sources; including not only wind and string instruments but also folk instruments; choral sounds; and more for a rich range of expression. The sound of the piano combines with the rich bass tones of Yamaha's acclaimed CFX concert grand pianos.
26,ROLAND KF-10 MB,ROLAND ,Digital,68000000,Japan,3,Used,4,Founded in 1940; Karimoku is Japan's largest manufacturer of wooden furniture. From its headquarters in Aichi; the company creates high-end wooden furniture based on traditional Japanese woodworking techniques; with innovative designs by the in-house design team; as well as collaborations. with designers around the world. By controlling the entire manufacturing and distribution process; from raw material sourcing and manufacturing - all the way to sales and repairs - quality is guaranteed to the highest level. Driven by the philosophy of "Quality First" and a sense of social responsibility; Karimoku always strives to design products that are suitable for the environment; providing a rich and satisfying lifestyle.
27,Kimball Art Case,Kimball,Grand,365000000,USA,3,Used,1,Kimball in particular has become one of the giants in the space; combining quality and affordability; and launching grand and upright pianos on a scale that piano makers rarely see. wherever. However; like many great piano creators before and after; Kimball eventually found himself moving away from the piano business. Below we'll dive into the rise and fall of this grand piano giant and the legacy they left behind. This is the history of Kimball pianos.
28,CASIO PX-S3100,CASIO,Digital,23500000,Japan,3,Brand New,10,The Casio Privia PX-S3100 digital piano is the latest product line that has just been launched by Casio. An improvement in design; sound and ease of use features for a productive experience from its predecessor; the PX-S3000. The Privia PX-S3100 is a compact yet high-performance slim digital piano that's perfect for creating music in any space you love. Discover outstanding musical colors with the music you love with the Casio PX-S3100.
29,YAMAHA P-125,YAMAHA,Digital,18743000,Japan,3,Brand New,10,The Yamaha P-125 digital piano is one of Yamaha's best-selling models in the mid-range price segment. Possessing many great features; meeting a variety of playing needs; the Yamaha P-125 is not too expensive. Therefore; the instrument is always well received and loved by many music lovers.
30,YAMAHA CLP-795GP,YAMAHA,Digital,204994000,Japan,3,Brand New,3,The Yamaha CLP-795GP is the latest generation of Yamaha digital pianos; belonging to the line of digital grand pianos with many innovative and enhanced features. Therefore; anyone who is passionate about electronic pianos will be completely conquered when experiencing on this model. Therefore; since its appearance; CLP-795GP has always been a name that is interested and favored by the grave industry.
